Date,Open,High,Low,Close,Adj Close,Volume,Name
2018-01-01,501.1000061035156,508.70001220703125,500.04998779296875,503.1000061035156,431.9801330566406,1115837,TECHM
2018-01-02,503.5,515.0,503.5,513.9500122070312,441.29632568359375,2204383,TECHM
2018-01-03,516.0999755859375,525.0,515.7000122070312,519.4500122070312,446.0188293457031,2288877,TECHM
2018-01-04,519.5,525.0,514.0,522.5499877929688,448.68060302734375,1460097,TECHM
2018-01-05,521.0,527.0,514.8499755859375,525.4500122070312,451.170654296875,1756809,TECHM
2018-01-08,520.7000122070312,542.8499755859375,520.7000122070312,536.2999877929688,460.4869079589844,2795379,TECHM
2018-01-09,540.0,540.0,529.0,533.8499755859375,458.3832092285156,1855191,TECHM
2018-01-10,535.0,544.0,533.7999877929688,542.0999755859375,465.4669494628906,2748547,TECHM
2018-01-11,544.0,555.8499755859375,542.7000122070312,551.7000122070312,473.70989990234375,3485380,TECHM
2018-01-12,550.0,554.5,548.0,550.75,472.8941955566406,2790912,TECHM
2018-01-15,550.9500122070312,554.9000244140625,542.3499755859375,543.75,466.88372802734375,1959669,TECHM
2018-01-16,548.0,563.0,547.2999877929688,557.6500244140625,478.8187561035156,4791310,TECHM
2018-01-17,559.9500122070312,564.5499877929688,553.1500244140625,554.9000244140625,476.4575500488281,1636201,TECHM
2018-01-18,560.0,560.0,550.25,552.6500244140625,474.5255432128906,2158972,TECHM
2018-01-19,553.0,558.5,547.0499877929688,552.9000244140625,474.7402648925781,1951962,TECHM
2018-01-22,550.0,572.4000244140625,549.7000122070312,569.5,488.9936828613281,4127554,TECHM
2018-01-23,569.1500244140625,590.7000122070312,564.2000122070312,588.25,505.0929260253906,4103152,TECHM
2018-01-24,584.1500244140625,612.4500122070312,584.1500244140625,603.1500244140625,517.8867797851562,6672393,TECHM
2018-01-25,604.5,613.4500122070312,588.0999755859375,598.4500122070312,513.8511962890625,5104213,TECHM
2018-01-29,599.0499877929688,608.7000122070312,595.4500122070312,604.7999877929688,519.303466796875,3352495,TECHM
2018-01-30,600.0,611.25,593.2000122070312,602.9500122070312,517.7149658203125,6290644,TECHM
2018-01-31,602.7999877929688,626.2000122070312,597.0,612.6500244140625,526.0437622070312,7244068,TECHM
2018-02-01,612.5499877929688,619.5,607.0499877929688,611.0499877929688,524.6698608398438,2479739,TECHM
2018-02-02,604.2999877929688,622.5,599.0499877929688,619.4500122070312,531.8825073242188,3994302,TECHM
2018-02-05,609.9000244140625,631.2000122070312,609.4000244140625,629.0499877929688,540.1253662109375,3500770,TECHM
2018-02-06,601.0,621.2000122070312,601.0,606.7000122070312,520.934814453125,3104038,TECHM
2018-02-07,611.7999877929688,617.2999877929688,596.9500122070312,603.0999755859375,517.8436889648438,3653165,TECHM
2018-02-08,610.0,622.0,594.9500122070312,608.25,522.2657470703125,2894969,TECHM
2018-02-09,601.0,603.0,589.4000244140625,595.25,511.10345458984375,3481551,TECHM
2018-02-12,598.0,604.9000244140625,586.1500244140625,590.3499755859375,506.89617919921875,2343988,TECHM
2018-02-14,588.5,614.5999755859375,588.5,611.5,525.0562744140625,5004415,TECHM
2018-02-15,615.0,618.5999755859375,604.0,605.6500244140625,520.0333251953125,1676641,TECHM
2018-02-16,610.0,613.7000122070312,581.2000122070312,584.3499755859375,501.7443542480469,2887255,TECHM
2018-02-19,588.75,588.75,563.6500244140625,572.4500122070312,491.526611328125,3170119,TECHM
2018-02-20,575.0,582.2000122070312,569.0,574.2000122070312,493.0291748046875,2273116,TECHM
2018-02-21,581.0499877929688,598.0,566.5499877929688,595.2000122070312,511.060546875,5590807,TECHM
2018-02-22,592.0,606.4500122070312,592.0,602.5999755859375,517.4144897460938,4421727,TECHM
2018-02-23,607.0,624.9500122070312,605.0,621.4500122070312,533.599853515625,3490526,TECHM
2018-02-26,622.0,627.4500122070312,611.0499877929688,612.4500122070312,525.8720703125,2923731,TECHM
2018-02-27,618.0,618.2999877929688,602.4500122070312,610.5499877929688,524.2405395507812,1905663,TECHM
2018-02-28,610.2000122070312,615.0,603.8499755859375,612.6500244140625,526.0437622070312,2113430,TECHM
2018-03-01,612.0499877929688,615.9000244140625,605.5499877929688,611.9000244140625,525.3997802734375,2226114,TECHM
2018-03-05,608.5,634.9000244140625,606.5499877929688,630.8499755859375,541.6708984375,4765322,TECHM
2018-03-06,631.9000244140625,633.9000244140625,615.0,617.25,529.9935913085938,2424505,TECHM
2018-03-07,619.7999877929688,626.4500122070312,606.5499877929688,609.0499877929688,522.9526977539062,1787149,TECHM
2018-03-08,615.0,616.75,603.0,607.2000122070312,521.3642578125,1858046,TECHM
2018-03-09,609.7000122070312,623.0999755859375,606.5,619.2000122070312,531.6678466796875,2095483,TECHM
2018-03-12,621.1500244140625,636.4000244140625,616.7000122070312,619.5499877929688,531.9684448242188,4336200,TECHM
2018-03-13,620.0,624.9500122070312,613.5999755859375,619.1500244140625,531.6249389648438,2306960,TECHM
2018-03-14,617.5,640.75,617.5,639.0999755859375,548.7546997070312,3825750,TECHM
2018-03-15,641.7000122070312,651.9500122070312,627.0499877929688,631.8499755859375,542.529541015625,5855371,TECHM
2018-03-16,634.7000122070312,639.0,627.0,634.7000122070312,544.9767456054688,3741772,TECHM
2018-03-19,634.8499755859375,637.4000244140625,608.0,609.9000244140625,523.6824951171875,1731324,TECHM
2018-03-20,605.0,635.2999877929688,603.0999755859375,633.4000244140625,543.8605346679688,3320421,TECHM
2018-03-21,635.0,636.8499755859375,621.25,625.8499755859375,537.3778076171875,2428150,TECHM
2018-03-22,627.0,631.0,616.5,619.0499877929688,531.5390625,1785067,TECHM
2018-03-23,607.5,625.0,604.75,623.3499755859375,535.2310791015625,3153066,TECHM
2018-03-26,623.0,628.5999755859375,617.0,620.4000244140625,532.6982421875,1552991,TECHM
2018-03-27,625.0,629.5999755859375,619.0,621.6500244140625,533.7715454101562,1135697,TECHM
2018-03-28,621.2000122070312,641.0,616.6500244140625,638.7000122070312,548.411376953125,5534298,TECHM
2018-04-02,638.7000122070312,646.5,634.0999755859375,640.2999877929688,549.7850952148438,2095519,TECHM
2018-04-03,636.5,638.0,613.5,615.9500122070312,528.8772583007812,3851192,TECHM
2018-04-04,618.0,622.0,603.25,606.2999877929688,520.5914916992188,2670676,TECHM
2018-04-05,616.2000122070312,620.75,604.5499877929688,617.3499755859375,530.0792846679688,2809480,TECHM
2018-04-06,616.0,622.0,613.7999877929688,618.2000122070312,530.8092041015625,1160620,TECHM
2018-04-09,621.0,622.5,613.25,614.8499755859375,527.932861328125,1427650,TECHM
2018-04-10,620.9000244140625,629.5,611.5,626.4500122070312,537.8929443359375,2085181,TECHM
2018-04-11,626.0499877929688,636.7999877929688,620.6500244140625,633.3499755859375,543.8175048828125,2139871,TECHM
2018-04-12,636.4000244140625,655.0,634.0499877929688,652.7999877929688,560.5180053710938,3614281,TECHM
2018-04-13,652.5499877929688,673.8499755859375,641.0999755859375,671.5499877929688,576.6174926757812,5653116,TECHM
2018-04-16,658.0999755859375,682.7999877929688,657.5,668.7000122070312,574.1703491210938,3931095,TECHM
2018-04-17,671.0,672.5,661.6500244140625,668.2999877929688,573.826904296875,1576573,TECHM
2018-04-18,668.9500122070312,674.0,654.2000122070312,656.7999877929688,563.9525756835938,1676060,TECHM
2018-04-19,662.9500122070312,669.25,655.9500122070312,665.2000122070312,571.1651000976562,2662071,TECHM
2018-04-20,667.0,706.0,667.0,700.5,601.4750366210938,5490181,TECHM
2018-04-23,694.5499877929688,729.5,690.5999755859375,702.0,602.762939453125,6998046,TECHM
2018-04-24,695.0,699.75,680.0,682.7000122070312,586.1913452148438,2728320,TECHM
2018-04-25,685.9000244140625,699.9500122070312,677.0,686.4000244140625,589.3682250976562,4560558,TECHM
2018-04-26,681.0,697.0,680.6500244140625,691.0999755859375,593.4038696289062,2852323,TECHM
2018-04-27,695.0499877929688,695.8499755859375,668.4500122070312,670.5,575.7158813476562,3756249,TECHM
2018-04-30,675.0,684.1500244140625,668.0999755859375,670.5999755859375,575.8018188476562,2639069,TECHM
2018-05-02,674.0,674.0,655.5,662.5499877929688,568.8897705078125,1745715,TECHM
2018-05-03,662.5499877929688,667.0,645.9000244140625,652.9500122070312,560.6467895507812,2284475,TECHM
